network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2a06:8180:400::/38,2635167,2635167,,0,0
2a06:8180:800::/37,2635167,2635167,,0,0
2a06:8180:1000::/36,2635167,2635167,,0,0
2a06:8180:2000::/35,2635167,2635167,,0,0
2a06:8180:4000::/34,2635167,2635167,,0,0
2a06:8180:8000::/33,2635167,2635167,,0,0
2a06:8181::/37,2635167,2635167,,0,0
2a06:8181:800::/38,2635167,2635167,,0,0
2a06:8181:c00::/39,2635167,2635167,,0,0
2a06:8181:e00::/40,2635167,2635167,,0,0
2a06:8181:f00::/41,2635167,2635167,,0,0
2a06:8181:f80::/42,2635167,2635167,,0,0
2a06:8181:fc0::/43,2635167,2635167,,0,0
2a06:8181:fe0::/43,2782113,2635167,,0,0
2a06:8181:1000::/37,2635167,2635167,,0,0
2a06:8181:1800::/38,2635167,2635167,,0,0
2a06:8181:1c00::/39,2635167,2635167,,0,0
2a06:8181:1e00::/40,2635167,2635167,,0,0
2a06:8181:1f00::/41,2635167,2635167,,0,0
2a06:8181:1f80::/42,2635167,2635167,,0,0
2a06:8181:1fc0::/44,2635167,2635167,,0,0
2a06:8181:1fd0::/44,2782113,2635167,,0,0
2a06:8181:1fe0::/43,2635167,2635167,,0,0
2a06:8181:2000::/35,2635167,2635167,,0,0
2a06:8181:4000::/34,2635167,2635167,,0,0
2a06:8181:8000::/33,2635167,2635167,,0,0
2a06:8182::/31,2635167,2635167,,0,0
2a06:8184::/32,2635167,2635167,,0,0
2a06:8185::/32,2658434,2635167,,0,0
2a06:8186::/32,2635167,2635167,,0,0
2a06:8187::/33,2635167,2635167,,0,0
2a06:8187:8000::/34,2635167,2635167,,0,0
2a06:8187:c000::/35,2635167,2635167,,0,0
2a06:8187:e000::/36,2635167,2635167,,0,0
2a06:8187:f000::/37,2635167,2635167,,0,0
2a06:8187:f800::/39,2635167,2635167,,0,0
2a06:8187:fa00::/40,2635167,2635167,,0,0
2a06:8187:fb00::/41,2635167,2635167,,0,0
2a06:8187:fb80::/43,2635167,2635167,,0,0
2a06:8187:fba0::/44,2635167,2635167,,0,0
2a06:8187:fbb0::/45,2635167,2635167,,0,0
2a06:8187:fbb8::/47,2635167,2635167,,0,0
2a06:8187:fbba::/49,2921044,2635167,,0,0
2a06:8187:fbba:8000::/49,2635167,2635167,,0,0
2a06:8187:fbbb::/48,2635167,2635167,,0,0
2a06:8187:fbbc::/46,2635167,2635167,,0,0
2a06:8187:fbc0::/42,2635167,2635167,,0,0
2a06:8187:fc00::/40,2635167,2635167,,0,0
2a06:8187:fd00::/47,3017382,2635167,,0,0
2a06:8187:fd02::/48,3017382,2635167,,0,0
2a06:8187:fd03::/48,2963597,2635167,,0,0
2a06:8187:fd04::/46,3017382,2635167,,0,0
2a06:8187:fd08::/45,3017382,2635167,,0,0
2a06:8187:fd10::/44,3017382,2635167,,0,0
2a06:8187:fd20::/43,3017382,2635167,,0,0
2a06:8187:fd40::/42,3017382,2635167,,0,0
2a06:8187:fd80::/44,3017382,2635167,,0,0
2a06:8187:fd90::/45,3017382,2635167,,0,0
2a06:8187:fd98::/48,3017382,2635167,,0,0
2a06:8187:fd99::/48,3042058,2635167,,0,0
2a06:8187:fd9a::/47,3017382,2635167,,0,0
2a06:8187:fd9c::/46,3017382,2635167,,0,0
2a06:8187:fda0::/43,3017382,2635167,,0,0
2a06:8187:fdc0::/42,3017382,2635167,,0,0
2a06:8187:fe00::/48,2635167,2635167,,0,0
2a06:8187:fe01::/49,2921044,2635167,,0,0
2a06:8187:fe01:8000::/49,2635167,2635167,,0,0
2a06:8187:fe02::/47,2635167,2635167,,0,0
2a06:8187:fe04::/46,2635167,2635167,,0,0
2a06:8187:fe08::/45,2635167,2635167,,0,0
2a06:8187:fe10::/47,2635167,2635167,,0,0
2a06:8187:fe12::/48,2635167,2635167,,0,0
2a06:8187:fe13::/49,3508796,2635167,,0,0
2a06:8187:fe13:8000::/49,2635167,2635167,,0,0
2a06:8187:fe14::/47,2635167,2635167,,0,0
2a06:8187:fe16::/48,2635167,2635167,,0,0
2a06:8187:fe17::/48,6251999,2635167,,0,0
2a06:8187:fe18::/45,2635167,2635167,,0,0
2a06:8187:fe20::/46,2635167,2635167,,0,0
2a06:8187:fe24::/48,2635167,2635167,,0,0
2a06:8187:fe25::/48,3202326,2635167,,0,0
2a06:8187:fe26::/47,2635167,2635167,,0,0
2a06:8187:fe28::/45,2635167,2635167,,0,0
2a06:8187:fe30::/44,2635167,2635167,,0,0
2a06:8187:fe40::/42,2635167,2635167,,0,0
2a06:8187:fe80::/41,2635167,2635167,,0,0
2a06:8187:ff00::/40,2635167,2635167,,0,0
2a06:81c0::/29,3144096,3144096,,0,0
2a06:8200::/29,130758,130758,,0,0
2a06:8240::/29,1733045,1733045,,0,0
2a06:8280::/32,2658434,2658434,,0,0
2a06:8281::/32,2921044,2658434,,0,0
2a06:8282::/31,2658434,2658434,,0,0
2a06:8284::/30,2658434,2658434,,0,0
2a06:82c0::/32,6255148,,,0,0
2a06:82c1::/48,6252001,,,0,0
2a06:82c1:1::/48,6255148,,,0,0
2a06:82c1:2::/47,6255148,,,0,0
2a06:82c1:4::/46,6255148,,,0,0
2a06:82c1:8::/45,6255148,,,0,0
2a06:82c1:10::/44,6255148,,,0,0
2a06:82c1:20::/43,6255148,,,0,0
2a06:82c1:40::/42,6255148,,,0,0
2a06:82c1:80::/41,6255148,,,0,0
2a06:82c1:100::/40,6255148,,,0,0
2a06:82c1:200::/39,6255148,,,0,0
2a06:82c1:400::/38,6255148,,,0,0
2a06:82c1:800::/37,6255148,,,0,0
2a06:82c1:1000::/36,6255148,,,0,0
2a06:82c1:2000::/35,6255148,,,0,0
2a06:82c1:4000::/34,6255148,,,0,0
2a06:82c1:8000::/33,6255148,,,0,0
2a06:82c2::/44,2635167,,,0,0
2a06:82c2:10::/44,6255148,,,0,0
2a06:82c2:20::/43,6255148,,,0,0
2a06:82c2:40::/42,6255148,,,0,0
2a06:82c2:80::/41,6255148,,,0,0
2a06:82c2:100::/40,6255148,,,0,0
2a06:82c2:200::/39,6255148,,,0,0
2a06:82c2:400::/38,6255148,,,0,0
2a06:82c2:800::/37,6255148,,,0,0
2a06:82c2:1000::/36,6255148,,,0,0
2a06:82c2:2000::/35,6255148,,,0,0
2a06:82c2:4000::/34,6255148,,,0,0
2a06:82c2:8000::/33,6255148,,,0,0
2a06:82c3::/32,6255148,,,0,0
2a06:82c4::/30,6255148,,,0,0
2a06:8300::/29,6290252,6290252,,0,0
2a06:8340::/29,798544,798544,,0,0
2a06:8380::/29,130758,130758,,0,0
2a06:83c0::/29,798544,798544,,0,0
2a06:8400::/29,2661886,2661886,,0,0
2a06:8440::/29,2921044,2921044,,0,0
2a06:8480::/29,102358,102358,,0,0
2a06:84c0::/29,2921044,2921044,,0,0
2a06:8500::/29,2921044,2921044,,0,0
2a06:8540::/29,2510769,2510769,,0,0
2a06:8580::/29,3175395,3175395,,0,0
2a06:85c0::/29,2921044,2921044,,0,0
2a06:8600::/29,3144096,3144096,,0,0
2a06:8640::/29,2635167,2635167,,0,0
2a06:8680::/29,660013,660013,,0,0
2a06:86c0::/29,2635167,2635167,,0,0
2a06:8700::/29,130758,130758,,0,0
2a06:8740::/29,2017370,2017370,,0,0
2a06:8780::/29,2921044,2921044,,0,0
2a06:8800::/29,294640,294640,,0,0
2a06:8840::/29,2510769,2510769,,0,0
2a06:8880::/29,2782113,2782113,,0,0
2a06:88c0::/29,2750405,2750405,,0,0
2a06:8900::/29,1522867,1522867,,0,0
2a06:8940::/29,2635167,2635167,,0,0
2a06:8980::/29,2635167,2635167,,0,0
2a06:89c0::/29,298795,298795,,0,0
2a06:8a00::/29,2658434,2658434,,0,0
2a06:8a40::/29,798544,798544,,0,0
2a06:8a80::/29,660013,660013,,0,0
2a06:8ac0::/29,2635167,2635167,,0,0
2a06:8b00::/29,798544,798544,,0,0
2a06:8b40::/29,2635167,2635167,,0,0
2a06:8b80::/29,3017382,3017382,,0,0
2a06:8bc0::/29,3017382,3017382,,0,0
2a06:8c00::/29,3017382,3017382,,0,0
2a06:8c40::/29,2510769,2510769,,0,0
2a06:8c80::/29,690791,690791,,0,0
2a06:8cc0::/29,3175395,3175395,,0,0
2a06:8d00::/29,130758,130758,,0,0
2a06:8d40::/29,2750405,2750405,,0,0
2a06:8d80::/29,2635167,2635167,,0,0
2a06:8dc0::/44,798549,,,0,0
2a06:8dc0:10::/44,6255148,,,0,0
2a06:8dc0:20::/43,6255148,,,0,0
2a06:8dc0:40::/42,6255148,,,0,0
2a06:8dc0:80::/41,6255148,,,0,0
2a06:8dc0:100::/40,6255148,,,0,0
2a06:8dc0:200::/39,6255148,,,0,0
2a06:8dc0:400::/38,6255148,,,0,0
2a06:8dc0:800::/37,6255148,,,0,0
2a06:8dc0:1000::/36,6255148,,,0,0
2a06:8dc0:2000::/35,6255148,,,0,0
2a06:8dc0:4000::/34,6255148,,,0,0
2a06:8dc0:8000::/33,6255148,,,0,0
2a06:8dc1::/32,6255148,,,0,0
2a06:8dc2::/48,6255148,,,0,0
2a06:8dc2:1::/49,2750405,,,0,0
2a06:8dc2:1:8000::/49,6255148,,,0,0
2a06:8dc2:2::/47,6255148,,,0,0
2a06:8dc2:4::/46,6255148,,,0,0
2a06:8dc2:8::/45,6255148,,,0,0
2a06:8dc2:10::/44,6255148,,,0,0
2a06:8dc2:20::/43,6255148,,,0,0
2a06:8dc2:40::/42,6255148,,,0,0
2a06:8dc2:80::/41,6255148,,,0,0
2a06:8dc2:100::/40,6255148,,,0,0
2a06:8dc2:200::/39,6255148,,,0,0
2a06:8dc2:400::/38,6255148,,,0,0
2a06:8dc2:800::/37,6255148,,,0,0
2a06:8dc2:1000::/36,6255148,,,0,0
2a06:8dc2:2000::/35,6255148,,,0,0
2a06:8dc2:4000::/34,6255148,,,0,0
2a06:8dc2:8000::/33,6255148,,,0,0
2a06:8dc3::/32,6255148,,,0,0
2a06:8dc4::/30,6255148,,,0,0
2a06:8e00::/29,6255148,,,0,0
2a06:8e40::/29,2623032,2623032,,0,0
2a06:8e80::/29,2623032,2623032,,0,0
2a06:8ec0::/49,2635167,,,0,0
2a06:8ec0:0:8000::/49,6255148,,,0,0
2a06:8ec0:1::/48,6255148,,,0,0
2a06:8ec0:2::/48,2658434,,,0,0
2a06:8ec0:3::/49,2635167,,,0,0
2a06:8ec0:3:8000::/49,6255148,,,0,0
2a06:8ec0:4::/48,2750405,,,0,0
2a06:8ec0:5::/48,6255148,,,0,0
2a06:8ec0:6::/48,2661886,,,0,0
2a06:8ec0:7::/48,6255148,,,0,0
2a06:8ec0:8::/45,6255148,,,0,0
2a06:8ec0:10::/44,6255148,,,0,0
2a06:8ec0:20::/43,6255148,,,0,0
2a06:8ec0:40::/42,6255148,,,0,0
2a06:8ec0:80::/41,6255148,,,0,0
2a06:8ec0:100::/40,6255148,,,0,0
2a06:8ec0:200::/39,6255148,,,0,0
2a06:8ec0:400::/38,6255148,,,0,0
2a06:8ec0:800::/37,6255148,,,0,0
2a06:8ec0:1000::/36,6255148,,,0,0
2a06:8ec0:2000::/35,6255148,,,0,0
2a06:8ec0:4000::/34,6255148,,,0,0
2a06:8ec0:8000::/33,6255148,,,0,0
2a06:8ec1::/32,6255148,,,0,0
2a06:8ec2::/31,6255148,,,0,0
2a06:8ec4::/30,6255148,,,0,0
2a06:8f00::/29,783754,783754,,0,0
2a06:8f40::/29,2510769,2510769,,0,0
2a06:8f80::/29,660013,660013,,0,0
2a06:8fc0::/29,3175395,3175395,,0,0
2a06:9000::/29,690791,690791,,0,0
2a06:9040::/29,2921044,2921044,,0,0
2a06:9080::/29,298795,298795,,0,0
2a06:90c0::/29,798549,798549,,0,0
2a06:9100::/29,99237,99237,,0,0
2a06:9140::/29,298795,298795,,0,0
2a06:9180::/29,2623032,2623032,,0,0
2a06:91c0::/29,587116,587116,,0,0
2a06:9200::/29,2750405,2750405,,0,0
2a06:9240::/29,3175395,3175395,,0,0
2a06:9280::/29,3077311,3077311,,0,0
2a06:9340::/29,660013,660013,,0,0
2a06:9380::/29,2921044,2921044,,0,0
2a06:93c0::/29,2750405,2750405,,0,0
2a06:9400::/29,6290252,6290252,,0,0
2a06:9440::/29,2921044,2921044,,0,0
2a06:9480::/29,3175395,3175395,,0,0
2a06:94c0::/29,2635167,2635167,,0,0
2a06:9500::/29,2921044,2921044,,0,0
2a06:9540::/29,2635167,2635167,,0,0
2a06:9580::/29,798544,798544,,0,0
2a06:95c0::/29,2960313,2960313,,0,0
2a06:9600::/29,2963597,2963597,,0,0
2a06:9640::/29,130758,130758,,0,0
2a06:9680::/29,732800,732800,,0,0
2a06:96c0::/29,2782113,2782113,,0,0
2a06:9700::/29,130758,130758,,0,0
2a06:9740::/29,2921044,2921044,,0,0
2a06:9780::/29,3077311,3077311,,0,0
2a06:97c0::/29,6290252,6290252,,0,0
2a06:9800::/29,2635167,2635167,,0,0
2a06:9840::/29,3017382,3017382,,0,0
2a06:9880::/29,3175395,3175395,,0,0
2a06:98c0::/29,2635167,2635167,,0,0
